method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cosine	template	word-average	0.0	0.5908236775444777
CEAT	C3_name_word	elmo	cosine	template	word-average	0.0	0.35942181992643224
CEAT	C9_name_word	elmo	cosine	template	word-average	0.0	-0.5703647312705094
CEAT	C9m_name_word	elmo	cosine	template	word-average	0.0	-0.19254302336246606
CEAT	C9_term_word	elmo	cosine	template	word-average	0.0	0.4540665067223038
CEAT	Occ_name_word	elmo	cosine	template	word-average	0.0	0.2881133204894839
CEAT	C1_name_word	bert	cosine	template	word-average	0.0	0.8648586825691141
CEAT	C3_name_word	bert	cosine	template	word-average	0.0	-0.30587939117614077
CEAT	C9_name_word	bert	cosine	template	word-average	1.9980981813455154e-06	-0.013857142685447483
CEAT	C9m_name_word	bert	cosine	template	word-average	0.0	0.26652961430713035
CEAT	C9_term_word	bert	cosine	template	word-average	0.0	-0.33432277771177915
CEAT	Occ_name_word	bert	cosine	template	word-average	0.0	0.11523971456291915
CEAT	C1_name_word	gpt2	cosine	template	word-average	0.0	0.8830132181642939
CEAT	C3_name_word	gpt2	cosine	template	word-average	0.0	-0.16653719451341156
CEAT	C9_name_word	gpt2	cosine	template	word-average	8.730409499267248e-22	0.04563486564810051
CEAT	C9m_name_word	gpt2	cosine	template	word-average	3.726032942427096e-48	-0.06728686816005915
CEAT	C9_term_word	gpt2	cosine	template	word-average	0.0	-0.918806532050699
CEAT	Occ_name_word	gpt2	cosine	template	word-average	0.0	0.5729253906187978
