method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	elmo	cosine	template	sent	1e-05	1.1305715889839372
SEAT	C1_name_word	elmo	cosine	template	word-average	1e-05	1.0512313241168805
SEAT	C3_name_word	elmo	cosine	template	sent	0.00696	0.41296592537901033
SEAT	C3_name_word	elmo	cosine	template	word-average	2e-05	0.6636417048237194
SEAT	C6_name_word	elmo	cosine	template	sent	1e-05	1.1291186374484135
SEAT	C6_name_word	elmo	cosine	template	word-average	1e-05	1.0298594803146965
SEAT	C6_term_word	elmo	cosine	template	sent	0.00201	0.530884359903158
SEAT	C6_term_word	elmo	cosine	template	word-average	0.03447	0.3459715955516015
SEAT	C9_name_word	elmo	cosine	template	sent	0.97765	-0.4088137083999276
SEAT	C9_name_word	elmo	cosine	template	word-average	0.99767	-0.5762845425555914
SEAT	C9_term_word	elmo	cosine	template	sent	0.14985	0.2620473511386019
SEAT	C9_term_word	elmo	cosine	template	word-average	0.0321	0.4645297142020708
SEAT	C9m_name_word	elmo	cosine	template	sent	0.87965	-0.24108421056815588
SEAT	C9m_name_word	elmo	cosine	template	word-average	0.79504	-0.1704146261906316
SEAT	Occ_name_word	elmo	cosine	template	sent	1e-05	0.6594055768992416
SEAT	Occ_name_word	elmo	cosine	template	word-average	1e-05	0.7178359377968736
SEAT	Occ_term_word	elmo	cosine	template	sent	1e-05	1.1294570576434253
SEAT	Occ_term_word	elmo	cosine	template	word-average	1e-05	1.0852201929597587
SEAT	C1_name_word	bert	cosine	template	sent	1e-05	1.3196541793341312
SEAT	C1_name_word	bert	cosine	template	word-average	1e-05	1.213966083134341
SEAT	C3_name_word	bert	cosine	template	sent	0.99249	-0.40884270372182047
SEAT	C3_name_word	bert	cosine	template	word-average	0.99021	-0.3907396930140493
SEAT	C6_name_word	bert	cosine	template	sent	0.01723	0.39804874781471006
SEAT	C6_name_word	bert	cosine	template	word-average	1e-05	0.8513732375446081
SEAT	C6_term_word	bert	cosine	template	sent	0.03872	0.3331867012813237
SEAT	C6_term_word	bert	cosine	template	word-average	0.10241	0.23918475494113492
SEAT	C9_name_word	bert	cosine	template	sent	0.02636	0.39528855940464314
SEAT	C9_name_word	bert	cosine	template	word-average	0.53479	-0.01778908054545919
SEAT	C9_term_word	bert	cosine	template	sent	0.66505	-0.10946595769348556
SEAT	C9_term_word	bert	cosine	template	word-average	0.92686	-0.3627393102014143
SEAT	C9m_name_word	bert	cosine	template	sent	1e-05	0.9934187444248748
SEAT	C9m_name_word	bert	cosine	template	word-average	0.08846	0.27493385161634504
SEAT	Occ_name_word	bert	cosine	template	sent	0.01949	0.28368183005271796
SEAT	Occ_name_word	bert	cosine	template	word-average	0.20848	0.11303976883256564
SEAT	Occ_term_word	bert	cosine	template	sent	1e-05	0.862105606532624
SEAT	Occ_term_word	bert	cosine	template	word-average	1e-05	1.008063550006832
SEAT	C1_name_word	gpt2	cosine	template	sent	1e-05	1.0096553786743694
SEAT	C1_name_word	gpt2	cosine	template	word-average	1e-05	1.1694129880150936
SEAT	C3_name_word	gpt2	cosine	template	sent	0.13653	0.18617541446432892
SEAT	C3_name_word	gpt2	cosine	template	word-average	0.59965	-0.044217023592586134
SEAT	C6_name_word	gpt2	cosine	template	sent	1e-05	0.8976754050296927
SEAT	C6_name_word	gpt2	cosine	template	word-average	0.00872	0.4480601910266592
SEAT	C6_term_word	gpt2	cosine	template	sent	0.69146	-0.09744301080437372
SEAT	C6_term_word	gpt2	cosine	template	word-average	0.83552	-0.1850749809086713
SEAT	C9_name_word	gpt2	cosine	template	sent	0.9778	-0.41097188610898483
SEAT	C9_name_word	gpt2	cosine	template	word-average	0.40368	0.04964102346407562
SEAT	C9_term_word	gpt2	cosine	template	sent	0.99998	-0.8837095810584567
SEAT	C9_term_word	gpt2	cosine	template	word-average	0.99996	-0.9332619115897256
SEAT	C9m_name_word	gpt2	cosine	template	sent	0.93235	-0.30689460449744405
SEAT	C9m_name_word	gpt2	cosine	template	word-average	0.64424	-0.07632221012328981
SEAT	Occ_name_word	gpt2	cosine	template	sent	0.0009	0.4292041052338
SEAT	Occ_name_word	gpt2	cosine	template	word-average	1e-05	0.7037966761787005
SEAT	Occ_term_word	gpt2	cosine	template	sent	0.07491	0.2729309597490798
SEAT	Occ_term_word	gpt2	cosine	template	word-average	0.00291	0.5176865376237336
